2025-12-05 14:20:56.159 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry is empty, awaiting new load (hasLoad await).
2025-12-05 14:23:21.957 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Lada: weight: 4824, area: 97.91034122448906
2025-12-05 14:23:21.964 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Lada: weight: 2138, area: 13.085043645797583
2025-12-05 14:23:21.965 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Volvo: weight: 1794, area: 14.345001189186432
2025-12-05 14:23:21.965 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Mercedes: weight: 6410, area: 53.3011203483305
2025-12-05 14:23:21.965 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Renault: weight: 2740, area: 14.235209800366844
2025-12-05 14:23:21.968 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Lada: weight: 1669, area: 13.258958952185402
2025-12-05 14:23:21.969 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Ford: weight: 1613, area: 13.352088390688452
2025-12-05 14:23:21.969 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Honda: weight: 1778, area: 14.872901925354068
2025-12-05 14:23:21.969 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Toyota: weight: 7872, area: 53.83049819590842
2025-12-05 14:23:21.969 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Toyota: weight: 4131, area: 67.48376344107629
2025-12-05 14:23:21.970 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Fiat: weight: 8909, area: 76.87613613381473
2025-12-05 14:23:21.970 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Renault: weight: 1429, area: 10.697435428343734
2025-12-05 14:23:21.971 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Volvo: weight: 1816, area: 10.693085585251229
2025-12-05 14:23:21.971 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Volkswagen: weight: 4394, area: 30.190988514612183
2025-12-05 14:23:21.971 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Toyota: weight: 2341, area: 12.263021672684848
2025-12-05 14:23:21.971 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck BMW: weight: 3508, area: 65.33263824691173
2025-12-05 14:23:21.971 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck BMW: weight: 8957, area: 39.30628355739793
2025-12-05 14:23:21.972 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Volkswagen: weight: 1408, area: 13.218490644718885
2025-12-05 14:23:21.972 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Renault: weight: 2874, area: 14.61941657483829
